city,country,latitude,longitude,temperature_celsius,feels_like_celsius,pressure_mb,humidity,wind_speed_mps,timestamp,temp_min_celsius,temp_max_celsius,dayofyear,sin_doy,cos_doy,temperature_celsius_lag1,temperature_celsius_lag2,temperature_celsius_lag3,temperature_celsius_lag4,temperature_celsius_lag5,temperature_celsius_lag6,temperature_celsius_lag7,temperature_celsius_lag8,temperature_celsius_lag9,temperature_celsius_lag10,temperature_celsius_lag11,temperature_celsius_lag12,temperature_celsius_lag13,temperature_celsius_lag14,temperature_celsius_roll_mean_3,temperature_celsius_roll_std_3,temperature_celsius_roll_mean_7,temperature_celsius_roll_std_7,temperature_celsius_roll_mean_14,temperature_celsius_roll_std_14
Kolkata,IN,22.5697,88.3697,29.970000000000027,36.97000000000003,1003,84,3.09,2025-08-12 16:19:06,29.970000000000027,29.970000000000027,224,-0.65316012232693,-0.7572198192083127,28.99000000000001,29.02000000000004,20.660000000000025,29.960000000000036,25.230000000000018,30.620000000000005,28.560000000000002,30.05000000000001,24.49000000000001,27.99000000000001,14.8,29.8,31.0,31.0,26.223333333333397,4.818011346326482,27.57714285714286,3.496115531489486,27.297857142857158,4.638378659983804
Kanpur,IN,26.4667,80.35,29.680000000000007,36.68000000000001,1001,80,2.21,2025-08-12 16:19:55,29.680000000000007,29.680000000000007,224,-0.65316012232693,-0.7572198192083127,29.970000000000027,28.99000000000001,29.02000000000004,20.660000000000025,29.960000000000036,25.230000000000018,30.620000000000005,28.560000000000002,30.05000000000001,24.49000000000001,27.99000000000001,14.8,29.8,31.0,29.32666666666673,0.5573448962063423,27.778571428571436,3.6012193702104245,27.22428571428573,4.582978061487383
Nagpur,IN,21.15,79.1,27.010000000000048,30.660000000000025,1004,89,1.03,2025-08-12 16:19:55,27.010000000000048,27.010000000000048,224,-0.65316012232693,-0.7572198192083127,29.680000000000007,29.970000000000027,28.99000000000001,29.02000000000004,20.660000000000025,29.960000000000036,25.230000000000018,30.620000000000005,28.560000000000002,30.05000000000001,24.49000000000001,27.99000000000001,14.8,29.8,29.54666666666672,0.5034216258038746,27.644285714285722,3.493521896037482,27.130000000000017,4.512359096456262
Indore,IN,22.7179,75.8333,24.100000000000023,24.860000000000014,1006,88,0.0,2025-08-12 16:19:55,24.100000000000023,24.100000000000023,224,-0.65316012232693,-0.7572198192083127,27.010000000000048,29.680000000000007,29.970000000000027,28.99000000000001,29.02000000000004,20.660000000000025,29.960000000000036,25.230000000000018,30.620000000000005,28.560000000000002,30.05000000000001,24.49000000000001,27.99000000000001,14.8,28.88666666666673,1.6316964586980311,27.89857142857144,3.3503503725797383,26.930714285714306,4.446498128233388
Thāne,IN,19.2,72.9667,27.950000000000045,31.110000000000014,1007,74,2.57,2025-08-12 16:19:55,27.950000000000045,27.950000000000045,224,-0.65316012232693,-0.7572198192083127,24.100000000000023,27.010000000000048,29.680000000000007,29.970000000000027,28.99000000000001,29.02000000000004,20.660000000000025,29.960000000000036,25.230000000000018,30.620000000000005,28.560000000000002,30.05000000000001,24.49000000000001,27.99000000000001,26.930000000000064,2.7908600824829204,27.061428571428582,3.4790584385788668,27.59500000000002,2.9313733982530907
Bhopal,IN,23.2667,77.4,26.129999999999995,26.129999999999995,1005,78,2.57,2025-08-12 16:19:55,26.129999999999995,26.129999999999995,224,-0.65316012232693,-0.7572198192083127,27.950000000000045,24.100000000000023,27.010000000000048,29.680000000000007,29.970000000000027,28.99000000000001,29.02000000000004,20.660000000000025,29.960000000000036,25.230000000000018,30.620000000000005,28.560000000000002,30.05000000000001,24.49000000000001,26.35333333333341,2.0072452100654394,28.102857142857154,2.0347949469633644,27.59214285714288,2.9309782524729515
Visakhapatnam,IN,17.69,83.2093,27.939999999999998,31.650000000000034,1002,78,2.57,2025-08-12 16:19:55,27.939999999999998,27.939999999999998,224,-0.65316012232693,-0.7572198192083127,26.129999999999995,27.950000000000045,24.100000000000023,27.010000000000048,29.680000000000007,29.970000000000027,28.99000000000001,29.02000000000004,20.660000000000025,29.960000000000036,25.230000000000018,30.620000000000005,28.560000000000002,30.05000000000001,26.06000000000006,1.9259543089070508,27.690000000000005,2.109510211715345,27.709285714285734,2.8284365463430343
Surat,IN,21.1667,72.8333,26.99000000000001,30.0,1005,83,3.6,2025-08-12 16:19:55,26.99000000000001,26.99000000000001,224,-0.65316012232693,-0.7572198192083127,27.939999999999998,26.129999999999995,27.950000000000045,24.100000000000023,27.010000000000048,29.680000000000007,29.970000000000027,28.99000000000001,29.02000000000004,20.660000000000025,29.960000000000036,25.230000000000018,30.620000000000005,28.560000000000002,27.34000000000005,1.0479026672340268,27.540000000000003,2.037776566096395,27.558571428571447,2.7492232669273213
Pimpri-Chinchwad,IN,18.6279,73.801,24.400000000000034,24.910000000000025,1009,77,2.74,2025-08-12 16:19:56,24.400000000000034,24.58000000000004,224,-0.65316012232693,-0.7572198192083127,26.99000000000001,27.939999999999998,26.129999999999995,27.950000000000045,24.100000000000023,27.010000000000048,29.680000000000007,29.970000000000027,28.99000000000001,29.02000000000004,20.660000000000025,29.960000000000036,25.230000000000018,30.620000000000005,27.02000000000004,0.9053728513692669,27.114285714285717,1.7341747042212954,27.44642857142859,2.7372265782440373
Vadodara,IN,22.3,73.2,28.980000000000018,34.47000000000003,1005,79,5.14,2025-08-12 16:19:56,28.980000000000018,28.980000000000018,224,-0.65316012232693,-0.7572198192083127,24.400000000000034,26.99000000000001,27.939999999999998,26.129999999999995,27.950000000000045,24.100000000000023,27.010000000000048,29.680000000000007,29.970000000000027,28.99000000000001,29.02000000000004,20.660000000000025,29.960000000000036,25.230000000000018,26.443333333333385,1.832220874602849,26.360000000000007,1.5730013774100546,27.00214285714288,2.6868201925770885
